bydel;delbydel;omsatte_boliger;pris
Bydel Gamle Oslo;Delbydel Grønland;227;73069
Bydel Gamle Oslo;Delbydel Enerhaugen;268;72798
Bydel Gamle Oslo;Delbydel Nedre Tøyen;207;74062
Bydel Gamle Oslo;Delbydel Kampen;128;77164
Bydel Gamle Oslo;Delbydel Vålerenga;194;74774
Bydel Gamle Oslo;Delbydel Kværnerbyen;334;74862
Bydel Gamle Oslo;Delbydel Bispevika;86;100125
Bydel Gamle Oslo;Delbydel Ensjø;157;68606
Bydel Gamle Oslo;Delbydel Etterstad;131;67441
Bydel Grünerløkka;Delbydel Grünerløkka vest;240;82025
Bydel Grünerløkka;Delbydel Grünerløkka øst;190;81541
Bydel Grünerløkka;Delbydel Dælenenga;175;77992
Bydel Grünerløkka;Delbydel Rodeløkka;300;78011
Bydel Grünerløkka;Delbydel Sinsen;402;73470
Bydel Grünerløkka;Delbydel Sofienberg;391;75176
Bydel Grünerløkka;Delbydel Løren;215;74868
Bydel Grünerløkka;Delbydel Hasle;224;71803
Bydel Sagene;Delbydel Iladalen;422;84004
Bydel Sagene;Delbydel Sagene;283;79781
Bydel Sagene;Delbydel Bjølsen;326;85758
Bydel Sagene;Delbydel Sandaker;411;77247
Bydel Sagene;Delbydel Torshov;427;77490
Bydel St Hanshaugen;Delbydel Hammersborg;204;85215
Bydel St Hanshaugen;Delbydel Bislett;342;83612
Bydel St Hanshaugen;Delbydel Ila;320;76592
Bydel St Hanshaugen;Delbydel Fagerborg;177;80988
Bydel St Hanshaugen;Delbydel Lindern;121;82067
Bydel Frogner;Delbydel Bygdøy;29;80935
Bydel Frogner;Delbydel Frogner;187;83773
Bydel Frogner;Delbydel Frognerparken;172;91126
Bydel Frogner;Delbydel Majorstuen nord;200;88601
Bydel Frogner;Delbydel Majorstuen syd;300;86144
Bydel Frogner;Delbydel Homansbyen;335;85989
Bydel Frogner;Delbydel Uranienborg;197;88195
Bydel Frogner;Delbydel Skillebekk;294;92805
Bydel Ullern;Delbydel Ullernåsen;111;66324
Bydel Ullern;Delbydel Lilleaker;88;72108
Bydel Ullern;Delbydel Ullern;110;66329
Bydel Ullern;Delbydel Montebello-Hoff;137;76022
Bydel Ullern;Delbydel Skøyen;166;83926
Bydel Vestre Aker;Delbydel Røa;174;65188
Bydel Vestre Aker;Delbydel Holmenkollen;138;63139
Bydel Vestre Aker;Delbydel Hovseter;209;63041
Bydel Vestre Aker;Delbydel Holmen;95;68865
Bydel Vestre Aker;Delbydel Slemdal;91;72168
Bydel Vestre Aker;Delbydel Grimelund;33;70231
Bydel Vestre Aker;Delbydel Vinderen;74;79967
Bydel Nordre Aker;Delbydel Disen;91;71410
Bydel Nordre Aker;Delbydel Myrer;99;74172
Bydel Nordre Aker;Delbydel Grefsen;86;66472
Bydel Nordre Aker;Delbydel Kjelsås;111;72738
Bydel Nordre Aker;Delbydel Korsvoll;63;79393
Bydel Nordre Aker;Delbydel Tåsen;127;84610
Bydel Nordre Aker;Delbydel Nordberg;100;76770
Bydel Nordre Aker;Delbydel Ullevål hageby;63;91580
Bydel Bjerke;Delbydel Veitvet;160;46862
Bydel Bjerke;Delbydel Linderud;127;56428
Bydel Bjerke;Delbydel Refstad;66;69204
Bydel Bjerke;Delbydel Ulven;41;62935
Bydel Bjerke;Delbydel Årvoll;235;63393
Bydel Grorud;Delbydel Ammerud;132;56047
Bydel Grorud;Delbydel Rødtvet;75;50493
Bydel Grorud;Delbydel Nordtvet;174;49143
Bydel Grorud;Delbydel Grorud;59;51575
Bydel Grorud;Delbydel Romsås;132;40934
Bydel Stovner;Delbydel Vestli;110;37847
Bydel Stovner;Delbydel Fossum;86;41885
Bydel Stovner;Delbydel Rommen;72;40566
Bydel Stovner;Delbydel Haugenstua;75;51255
Bydel Stovner;Delbydel Stovner;68;41013
Bydel Stovner;Delbydel Høybråten;107;43250
Bydel Alna;Delbydel Furuset;198;41431
Bydel Alna;Delbydel Ellingsrud;150;44361
Bydel Alna;Delbydel Lindeberg;166;46635
Bydel Alna;Delbydel Trosterud;235;48895
Bydel Alna;Delbydel Hellerudtoppen;46;55570
Bydel Alna;Delbydel Tveita;177;55361
Bydel Alna;Delbydel Teisen;173;55777
Bydel Østensjø;Delbydel Manglerud;311;59287
Bydel Østensjø;Delbydel Godlia;161;57905
Bydel Østensjø;Delbydel Oppsal;324;56362
Bydel Østensjø;Delbydel Bøler;187;53243
Bydel Østensjø;Delbydel Skullerud;169;53434
Bydel Østensjø;Delbydel Abildsø;46;52715
Bydel Nordstrand;Delbydel Ljan;73;59756
Bydel Nordstrand;Delbydel Nordstrand;131;67386
Bydel Nordstrand;Delbydel Bekkelaget;83;65742
Bydel Nordstrand;Delbydel Simensbråten;124;61059
Bydel Nordstrand;Delbydel Lambertseter;435;57190
Bydel Nordstrand;Delbydel Munkerud;101;59833
Bydel Søndre Nordstrand;Delbydel Holmlia Syd;98;39335
Bydel Søndre Nordstrand;Delbydel Holmlia Nord;128;43145
Bydel Søndre Nordstrand;Delbydel Prinsdal;81;40084
Bydel Søndre Nordstrand;Delbydel Bjørnerud;134;42330
Bydel Søndre Nordstrand;Delbydel Mortensrud;63;43471
Bydel Søndre Nordstrand;Delbydel Bjørndal;75;35897
