Kommune;2018;2019;Folketilvekst i prosent;
0101 Halden;31037;31177;0,5;
0104 Moss;32588;32726;0,4;
0105 Sarpsborg;55543;55997;0,8;
0106 Fredrikstad;80977;81772;1,0;
0111 Hvaler;4540;4599;1,3;
0118 Aremark;1399;1357;-3,0;
0119 Marker;3567;3592;0,7;
0121 Rømskog;682;673;-1,3;
0122 Trøgstad;5337;5347;0,2;
0123 Spydeberg;5853;6042;3,2;
0124 Askim;15810;15865;0,3;
0125 Eidsberg;11414;11424;0,1;
0127 Skiptvet;3831;3797;-0,9;
0128 Rakkestad;8202;8230;0,3;
0135 Råde;7465;7542;1,0;
0136 Rygge;16083;16145;0,4;
0137 Våler (Østfold);5471;5593;2,2;
0138 Hobøl;5621;5642;0,4;
0211 Vestby;17486;17824;1,9;
0213 Ski;30880;30843;-0,1;
0214 Ås;20084;20335;1,2;
0215 Frogn;15735;15761;0,2;
0216 Nesodden;19287;19488;1,0;
0217 Oppegård;27178;27394;0,8;
0219 Bærum;125454;126841;1,1;
0220 Asker;60926;61523;1,0;
0221 Aurskog-Høland;16390;16500;0,7;
0226 Sørum;17980;18263;1,6;
0227 Fet;11663;11842;1,5;
0228 Rælingen;17874;18161;1,6;
0229 Enebakk;10945;11026;0,7;
0230 Lørenskog;38670;40106;3,7;
0231 Skedsmo;54178;55652;2,7;
0233 Nittedal;23545;24089;2,3;
0234 Gjerdrum;6704;6823;1,8;
0235 Ullensaker;36576;38234;4,5;
0236 Nes (Akershus);21681;21885;0,9;
0237 Eidsvoll;24647;24919;1,1;
0238 Nannestad;13240;13682;3,3;
0239 Hurdal;2903;2864;-1,3;
0301 Oslo kommune;673469;681071;1,1;
0402 Kongsvinger;17934;17823;-0,6;
0403 Hamar;30930;31144;0,7;
0412 Ringsaker;34151;34488;1,0;
0415 Løten;7615;7663;0,6;
0417 Stange;20646;20916;1,3;
0418 Nord-Odal;5097;5024;-1,4;
0419 Sør-Odal;7884;7879;-0,1;
0420 Eidskog;6142;6114;-0,5;
0423 Grue;4740;4646;-2,0;
0425 Åsnes;7279;7214;-0,9;
0426 Våler (Hedmark);3680;3705;0,7;
0427 Elverum;21123;21191;0,3;
0428 Trysil;6567;6607;0,6;
0429 Åmot;4480;4407;-1,6;
0430 Stor-Elvdal;2490;2459;-1,2;
0432 Rendalen;1827;1791;-2,0;
0434 Engerdal;1294;1286;-0,6;
0436 Tolga;1553;1551;-0,1;
0437 Tynset;5605;5591;-0,2;
0438 Alvdal;2424;2418;-0,2;
0439 Folldal;1569;1577;0,5;
0441 Os (Hedmark);1936;1912;-1,2;
0501 Lillehammer;27938;28023;0,3;
0502 Gjøvik;30642;30676;0,1;
0511 Dovre;2642;2615;-1,0;
0512 Lesja;2038;2009;-1,4;
0513 Skjåk;2179;2204;1,1;
0514 Lom;2331;2293;-1,6;
0515 Vågå;3638;3589;-1,3;
0516 Nord-Fron;5728;5742;0,2;
0517 Sel;5872;5789;-1,4;
0519 Sør-Fron;3146;3127;-0,6;
0520 Ringebu;4454;4425;-0,7;
0521 Øyer;5130;5119;-0,2;
0522 Gausdal;6148;6112;-0,6;
0528 Østre Toten;14888;14948;0,4;
0529 Vestre Toten;13314;13384;0,5;
0532 Jevnaker;6777;6846;1,0;
0533 Lunner;9065;9051;-0,2;
0534 Gran;13770;13642;-0,9;
0536 Søndre Land;5650;5623;-0,5;
0538 Nordre Land;6750;6671;-1,2;
0540 Sør-Aurdal;3014;2981;-1,1;
0541 Etnedal;1352;1305;-3,5;
0542 Nord-Aurdal;6443;6418;-0,4;
0543 Vestre Slidre;2139;2135;-0,2;
0544 Øystre Slidre;3221;3208;-0,4;
0545 Vang;1601;1610;0,6;
0602 Drammen;68713;68933;0,3;
0604 Kongsberg;27410;27481;0,3;
0605 Ringerike;30283;30442;0,5;
0612 Hole;6833;6845;0,2;
0615 Flå;1069;1052;-1,6;
0616 Nes (Buskerud);3341;3315;-0,8;
0617 Gol;4566;4576;0,2;
0618 Hemsedal;2457;2481;1,0;
0619 Ål;4626;4671;1,0;
0620 Hol;4520;4473;-1,0;
0621 Sigdal;3488;3490;0,1;
0622 Krødsherad;2277;2239;-1,7;
0623 Modum;13880;13980;0,7;
0624 Øvre Eiker;18926;19117;1,0;
0625 Nedre Eiker;24917;24963;0,2;
0626 Lier;25980;26373;1,5;
0627 Røyken;22452;22635;0,8;
